"intercept","env_range","lat_range","sim","fit_model","job"
-4.5,10,30,22,"mgcv",577
-3.5,10,30,22,"mgcv",578
-2.5,10,30,22,"mgcv",579
-4.5,30,30,22,"mgcv",580
-3.5,30,30,22,"mgcv",581
-2.5,30,30,22,"mgcv",582
-4.5,50,30,22,"mgcv",583
-3.5,50,30,22,"mgcv",584
-2.5,50,30,22,"mgcv",585
-4.5,10,50,22,"mgcv",586
-3.5,10,50,22,"mgcv",587
-2.5,10,50,22,"mgcv",588
-4.5,30,50,22,"mgcv",589
-3.5,30,50,22,"mgcv",590
-2.5,30,50,22,"mgcv",591
-4.5,50,50,22,"mgcv",592
-3.5,50,50,22,"mgcv",593
-2.5,50,50,22,"mgcv",594
-4.5,10,10,23,"mgcv",595
-3.5,10,10,23,"mgcv",596
-2.5,10,10,23,"mgcv",597
-4.5,30,10,23,"mgcv",598
-3.5,30,10,23,"mgcv",599
-2.5,30,10,23,"mgcv",600
-4.5,50,10,23,"mgcv",601
-3.5,50,10,23,"mgcv",602
-2.5,50,10,23,"mgcv",603
-4.5,10,30,23,"mgcv",604
-3.5,10,30,23,"mgcv",605
-2.5,10,30,23,"mgcv",606
-4.5,30,30,23,"mgcv",607
-3.5,30,30,23,"mgcv",608
-2.5,30,30,23,"mgcv",609
-4.5,50,30,23,"mgcv",610
-3.5,50,30,23,"mgcv",611
-2.5,50,30,23,"mgcv",612
-4.5,10,50,23,"mgcv",613
-3.5,10,50,23,"mgcv",614
-2.5,10,50,23,"mgcv",615
-4.5,30,50,23,"mgcv",616
-3.5,30,50,23,"mgcv",617
-2.5,30,50,23,"mgcv",618
-4.5,50,50,23,"mgcv",619
-3.5,50,50,23,"mgcv",620
-2.5,50,50,23,"mgcv",621
-4.5,10,10,24,"mgcv",622
-3.5,10,10,24,"mgcv",623
-2.5,10,10,24,"mgcv",624
-4.5,30,10,24,"mgcv",625
-3.5,30,10,24,"mgcv",626
-2.5,30,10,24,"mgcv",627
-4.5,50,10,24,"mgcv",628
-3.5,50,10,24,"mgcv",629
-2.5,50,10,24,"mgcv",630
-4.5,10,30,24,"mgcv",631
-3.5,10,30,24,"mgcv",632
-2.5,10,30,24,"mgcv",633
-4.5,30,30,24,"mgcv",634
-3.5,30,30,24,"mgcv",635
-2.5,30,30,24,"mgcv",636
-4.5,50,30,24,"mgcv",637
-3.5,50,30,24,"mgcv",638
-2.5,50,30,24,"mgcv",639
-4.5,10,50,24,"mgcv",640
-3.5,10,50,24,"mgcv",641
-2.5,10,50,24,"mgcv",642
-4.5,30,50,24,"mgcv",643
-3.5,30,50,24,"mgcv",644
-2.5,30,50,24,"mgcv",645
-4.5,50,50,24,"mgcv",646
-3.5,50,50,24,"mgcv",647
-2.5,50,50,24,"mgcv",648
-4.5,10,10,25,"mgcv",649
-3.5,10,10,25,"mgcv",650
-2.5,10,10,25,"mgcv",651
-4.5,30,10,25,"mgcv",652
-3.5,30,10,25,"mgcv",653
-2.5,30,10,25,"mgcv",654
-4.5,50,10,25,"mgcv",655
-3.5,50,10,25,"mgcv",656
-2.5,50,10,25,"mgcv",657
-4.5,10,30,25,"mgcv",658
-3.5,10,30,25,"mgcv",659
-2.5,10,30,25,"mgcv",660
-4.5,30,30,25,"mgcv",661
-3.5,30,30,25,"mgcv",662
-2.5,30,30,25,"mgcv",663
-4.5,50,30,25,"mgcv",664
-3.5,50,30,25,"mgcv",665
-2.5,50,30,25,"mgcv",666
-4.5,10,50,25,"mgcv",667
-3.5,10,50,25,"mgcv",668
-2.5,10,50,25,"mgcv",669
-4.5,30,50,25,"mgcv",670
-3.5,30,50,25,"mgcv",671
-2.5,30,50,25,"mgcv",672
-4.5,50,50,25,"mgcv",673
